Edge1-Edge2	KappaScore
GO:2001141 (term-term) GO:0010556	0.6755422660088511
GO:2001141 (term-term) GO:0010557	0.5405081295974479
GO:2001141 (term-term) GO:0010558	0.4029866857472422
GO:2001141 (term-term) GO:0010604	0.48386021208140145
GO:2001141 (term-term) GO:0016070	0.7373067801194167
GO:2001141 (term-term) GO:0019219	0.8619278121695677
GO:2001141 (term-term) GO:0032774	0.7779575953260345
GO:2001141 (term-term) GO:0045934	0.46652735083188257
GO:2001141 (term-term) GO:0045935	0.5972312075443528
GO:2001141 (term-term) GO:0051252	0.9365834711852281
GO:2001141 (term-term) GO:0051253	0.4908196634318805
GO:2001141 (term-term) GO:0051254	0.6164808058212283
GO:2001141 (term-term) GO:0141187	0.7585490136459191
GO:2001141 (term-term) GO:1902680	0.6389377068527593
GO:2001141 (term-term-ontology) GO:0006355	2.0
GO:2001141 (term-term-ontology) GO:0010556	2.0
GO:2001141 (term-term-ontology) GO:0032774	2.0
GO:2001141 (term-term-ontology) GO:0051252	2.0
GO:2001141 (term-term-ontology) GO:1902680	2.0
